experiment,total,errors,evaluated,false_positives,false_negatives,fp_rate,fn_rate
baseline,301,1,300,1,130,0.009900990099009901,0.6532663316582915
sv_matching,301,1,300,2,126,0.019801980198019802,0.6331658291457286
olive_range,301,1,300,99,3,0.9801980198019802,0.01507537688442211
nongreen_proxy,301,1,300,7,112,0.06930693069306931,0.5628140703517588
sv_matching_plus_olive,301,1,300,96,8,0.9504950495049505,0.04020100502512563
sv_matching_plus_nongreen,301,1,300,2,120,0.019801980198019802,0.6030150753768844
